Zipcode,Latitude,Longitude,Supply_KW,Demand_Month_1_KWh,Demand_Month_2_KWh,Demand_Month_3_KWh,Demand_Month_4_KWh,Demand_Month_5_KWh,Demand_Month_6_KWh,Demand_Month_7_KWh,Demand_Month_8_KWh,Demand_Month_9_KWh,Demand_Month_10_KWh,Demand_Month_11_KWh,Demand_Month_12_KWh
95962,39.344757,-121.264517,0.0,570799.0,477263.0,462285.0,428016.0,391983.0,479599.0,562184.0,539236.0,413946.0,353886.0,448699.0,497481.0
95963,39.736308,-122.25933799999999,7124.922000000001,15493865.0,7661180.0,20476050.0,17270246.0,17926043.0,15805676.0,19197283.0,18753950.0,15161777.0,19702030.0,15695525.0,8802315.0
95965,39.593945,-121.58136299999998,6834.288000000001,9875309.0,7852585.0,8189216.0,7530388.0,9695981.0,12513490.0,15502537.0,15642852.0,12471670.0,9269430.0,8893874.0,9461129.0
95966,39.475359999999995,-121.41411000000001,1295.2499999999998,12829944.0,10034674.0,9964203.0,6167190.0,10822352.0,14557431.0,17346057.0,16993459.0,13030451.0,9419871.0,10141026.0,11727089.0
95968,39.435210999999995,-121.551925,0.0,352525.0,275956.0,280680.0,249315.0,298542.0,413510.0,501993.0,483547.0,361461.0,262554.0,290591.0,356749.0
95969,39.716846000000004,-121.64618,1801.7600000000007,11114360.0,9887524.0,9724722.0,9061026.0,9675584.0,12910763.0,15739577.0,15446346.0,11595159.0,9132645.0,9452708.0,10283464.0
95970,39.398424,-122.060946,1366.0930000000005,188319.0,139868.0,121124.0,106289.0,143417.0,220611.0,266407.0,244402.0,172022.0,116968.0,136562.0,175418.0
95971,39.940063,-120.891328,138.43800000000002,3349905.0,2815825.0,2768857.0,2571485.0,2330871.0,2402422.0,2682737.0,2808917.0,2360625.0,2663766.0,2865626.0,3416852.0
95972,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95973,39.891624,-121.841982,3711.989999999999,11676338.0,9342278.0,8800843.0,7886474.0,10080627.0,15063862.0,19755884.0,19489297.0,13108093.0,9072235.0,9880062.0,11433935.0
95974,39.480221,-121.838454,2471.772,114632.0,85187.0,74757.0,64821.0,83748.0,140870.0,176869.0,164968.0,113521.0,69177.0,84155.0,101628.0
95975,39.224354,-121.151625,37.134,721567.0,579732.0,563330.0,528050.0,495887.0,620462.0,742296.0,741476.0,549978.0,429433.0,554641.0,619986.0
95977,39.176595,-121.291692,19.016,676936.0,553513.0,516680.0,480758.0,495238.0,697930.0,877508.0,831492.0,604806.0,439929.0,526649.0,599178.0
95978,39.875599,-121.53631499999999,0.0,0.0,84075.0,84681.0,80128.0,69275.0,74980.0,78512.0,78814.0,73320.0,74801.0,89918.0,99199.0
95979,39.302035,-122.51116,14.065999999999999,260692.0,194486.0,188714.0,289510.0,311594.0,372333.0,459142.0,279634.0,208363.0,164602.0,199714.0,241248.0
95981,39.679398,-120.99861899999999,0.0,60865.0,56026.0,58671.0,50535.0,57143.0,71762.0,92791.0,82208.0,81355.0,73656.0,65173.0,68354.0
95982,39.172726000000004,-121.805819,1282.73,782987.0,637914.0,571598.0,519750.0,734393.0,1150526.0,1412233.0,1315070.0,962210.0,574112.0,622836.0,758811.0
95983,40.077912,-120.707315,5.376,210855.0,168355.0,172439.0,150759.0,139657.0,148095.0,170827.0,160178.0,147121.0,170944.0,190098.0,243599.0
95984,40.040955,-121.122652,0.0,85864.0,66838.0,71117.0,65276.0,69953.0,84459.0,108245.0,95225.0,80697.0,82088.0,81980.0,92821.0
95986,39.342544000000004,-120.770868,0.0,0.0,56766.0,56744.0,57932.0,50025.0,44782.0,53861.0,51728.0,46471.0,49470.0,51867.0,59410.0
95987,39.105127,-122.28300300000001,4690.563,3715508.0,3104297.0,3047575.0,631700.0,2707652.0,1525091.0,1919189.0,1812781.0,1296287.0,722518.0,820517.0,1026768.0
95988,39.491654,-122.26208000000001,2627.849,4016980.0,3228925.0,3172714.0,2742728.0,5474618.0,6499580.0,7676237.0,7525553.0,5737312.0,3826469.0,3460360.0,3752477.0
95991,38.994187,-121.594591,6311.565999999998,17138387.0,12091591.0,12908739.0,11850677.0,17360631.0,23439984.0,29964537.0,25354305.0,21338283.0,15350320.0,14828831.0,16323654.0
95993,39.082497,-121.68011399999999,3288.9829999999993,12352143.0,11521743.0,10770488.0,10232406.0,13286070.0,19105803.0,24434356.0,20752697.0,15996931.0,21271553.0,11724057.0,12042707.0
96001,40.601778,-122.454973,329.435,1951748.0,1523361.0,1398005.0,1265585.0,1293313.0,2195426.0,2784248.0,2767626.0,1651110.0,1499273.0,1870367.0,2100676.0
96002,40.527834000000006,-122.318749,110.57700000000001,1931191.0,1523818.0,1433636.0,1241557.0,1427448.0,1991664.0,2476887.0,2436285.0,1714762.0,1294234.0,1552295.0,1837669.0
96003,40.751937,-122.230678,2175.2110000000002,8659108.0,3887735.0,3674560.0,3268825.0,3356053.0,4559611.0,9792738.0,10042529.0,4239284.0,3092940.0,3870293.0,4409119.0
96007,40.458028999999996,-122.27783000000001,1135.0320000000004,11247528.0,12150470.0,11970472.0,10917997.0,13470831.0,16116236.0,15315801.0,15472977.0,15395909.0,12088817.0,12354703.0,13631216.0
96008,40.704869,-122.120038,233.46,315572.0,260078.0,243626.0,218790.0,241746.0,338831.0,425433.0,429691.0,297899.0,220074.0,273337.0,314814.0
96009,41.05604,-121.020802,0.0,0.0,118192.0,104820.0,89463.0,76689.0,69147.0,79489.0,94018.0,68608.0,81016.0,94570.0,113699.0
